Gallery Name,City,Neighborhood,Address
303 Gallery,New York,Chelsea,555 W 21 st
Andrew kreps,New York,Chelsea,537 W 22nd St
Cheim & Read,New York,Chelsea,547 W 25th St
Gagosian,New York,Chelsea,522 W 21st St
Gagosian,New York,Chelsea,555 W 24th st
Jack Shainman,New York,Chelsea,524 W 24th St
Lehmann Maupin,New York,Chelsea,536 W 22nd St
Mathew Marks, New York,Chelsea,523 W 24th St
Mathew Marks,New York,Chelsea,522 W 22nd St
Pace Gallery,New York,Chelsea,510 W 25th St
Paul Kasmin ,New York,Chelsea,297 10th Ave
Paul Kasmin ,New York,Chelsea,293 10th Ave
P.P.O.W,New York,Chelsea,535 W 22nd St
205 Hudson Gallery,New York,Downtown,"205 Hudson St, Hunter College Art"
80WSE,New York,Downtown,80 Washington Square East
Abrons Arts Center,New York,Downtown,466 Grand St
Alexander and Bonin,New York,Downtown,47 Walker St
Allen & Eldridge,New York,Downtown,55 Delancy St
Arsenal Contemporary,New York,Downtown,214 Bowery
Bible,New York,Downtown,19 monroe St
Brennan & Griffin,New York,Downtown,122 Norfolk St
Carriage Trade,New York,Downtown,277 Grand St
Cuevas Tilleard,New York,Downtown,291 Grand St
David Lewis,New York,Downtown,88 Eldridge St
Denny Gallery,New York,Downtown,261 Broome St
Fridman Gallery,New York,Downtown,287 Spring St
Frosh & Portmann,New York,Downtown,53 Stanton St
The Hole,New York,Downtown,312 Bowery
Invisible-Exports,New York,Downtown,89 Eldridge St
Jack Hanley,New York,Downtown,327 Broome St
Jame Fuentes,New York,Downtown,55 Delancey St
Jeffrey Stark,New York,Downtown,88 E Broadway
Kerry Schuss,New York,Downtown,34 Orchard St
Larrie,New York,Downtown,27 Orchard St
Lehmann Maupin,New York,Downtown,201 Chrystie St
Lomex,New York,Downtown,134 Bowery
The National Exemplar,New York,Downtown,59 Franklin St
New Release,New York,Downtown,60 Mulberry St
Nicelle Beauchene,New York,Downtown,327 Broome St
Olsen Gruin,New York,Downtown,211 Elizabeth St
Olsen Gruin,New York,Downtown,30 Orchard St
Peter Freeman,New York,Downtown,140 Grand St
Sergent's Daughters,New York,Downtown,179 E Broadway
Shoot The Lobster,New York,Downtown,138 Eldridge St
Shrine,New York,Downtown,Henry St
Swiss In Situ,New York,Downtown,102 Franklin St
Thierry Goldberg,New York,Downtown,103 Norfolk St
Arts + Leisure,New York,Uptown,1571 Lexington Ave
Austrian Cultural Forum,New York,Uptown,11 E 52nd St
Gavin Brown's Enterprise,New York,Uptown,439 W 127th St
Buchholz,New York,Uptown,17 E 82nd St
Luebsdorf Gallery,New York,Uptown,132 E 68th St
Levy Gorvy,New York,Uptown,909 Madison Ave
Marian Goodman,New York,Uptown,24 W 57th St
Michael Werner,New York,Uptown,4 E 77th St
Mnuchin,New York,Uptown,45 E 78th St
Galeria Nara Roesler,New York,Uptown,22 E 69th St
Pace Gallery,New York,Uptown,32 E 57th St
Sky Art,New York,Uptown,555 11th Ave
Van Doren Waxter,New York,Uptown,23 E 73rd St
1969,New York,Lower East Side,103 Allen Street (Delancey + Broome)
Kristen Lorello,New York,Lower East Side,"195 Chrystie Street, # 103 (Lobby) (Stanton + Rivington)"
Anastasia Photo,New York,Lower East Side,143 Ludlow St
Andrew Edlin Gallery,New York,Lower East Side,212 Bowery (Prince + Spring)
Arsenal Contemporary,New York,Lower East Side,214 Bowery (Prince + Spring)
Baxter St at CCNY,New York,Lower East Side,126 Baxter St (Hester + Canal)
Betty Cuningham,New York,Lower East Side,15 Rivington St (Bowery + Chrystie)
Bitforms Gallery,New York,Lower East Side,131 Allen St (Rivington + Delancey)
Brennan & Griffin,New York,Lower East Side,122 Norfolk St (Rivington + Delancey)
Bureau,New York,Lower East Side,178 Norfolk St (Houston + Stanton)
Callicoon Fine Arts,New York,Lower East Side,49 Delancey St (Forsyth + Eldridge)
CANADA,New York,Lower East Side,331 + 333 Broome St (Forsyth + Eldridge)
Carriage Trade,New York,Lower East Side,"277 Grand St, 2nd Fl. (Grand + Forsyth)"
Chapter NY,New York,Lower East Side,249 East Houston St (Norfolk + Suffolk)
Chesterfield Gallery,New York,Lower East Side,109 Norfolk St (Rivington + Delancey)
Chinatown Soup,New York,Lower East Side,16B Orchard St (Hester + Canal)
Cindy Rucker,New York,Lower East Side,141 Attorney St
Cuchifritos,New York,Lower East Side,"120 Essex St (Rivington + Delancey, inside Essex Market)"
Cuevas Tilleard,New York,Lower East Side,"291 Grand St, Ground Floor Window (Eldridge + Allen)"
Danziger Gallery,New York,Lower East Side,"
95 Rivington St (Orchard + Ludlow)"
David Lewis,New York,Lower East Side,88 Eldridge St. 5th Floor (Grand + Hester)
Denny Gallery,New York,Lower East Side,261 Broome St (Allen + Orchard)
Derek Eller Gallery,New York,Lower East Side,300 Broome St (Eldridge + Forsyth)
Downs & Ross,New York,Lower East Side,"96 Bowery, 2nd Floor (Grand + Hester) "
Elizabeth Houston Gallery,New York,Lower East Side,"
190 Orchard St (Houston + Stanton)"
Equity Gallery,New York,Lower East Side,245 Broome St (Orchard + Ludlow)
Fat Free Art,New York,Lower East Side,102 Allen Street (@Delancey)
Foley Gallery,New York,Lower East Side,"
59 Orchard St (Grand + Hester)"
Foxy Production,New York,Lower East Side,"2 East Broadway, # 200 (Bowery + Catherine)"
Front Room Gallery,New York,Lower East Side,48 Hester St (@ Ludlow)
frosch & portmann,New York,Lower East Side,53 Stanton St (Forsyth + Eldridge)
Gallery Max New York,New York,Lower East Side,552 Broadway Suite 401 (Prince + Spring)
Galerie Richard,New York,Lower East Side,"
121 Orchard St (Rivington + Delancey)"
Hales,New York,Lower East Side,64 Delancey St (Eldridge + Allen)
ICP Museum,New York,Lower East Side,250 Bowery (Houston + Stanton)
INVISIBLE-EXPORTS,New York,Lower East Side,89 Eldridge Street (Grand + Hester)
Italian American Museum,New York,Lower East Side,155 Mulberry Street (@ Grand)
James Cohan,New York,Lower East Side,291 Grand Street (@ Eldridge)
James Fuentes,New York,Lower East Side,55 Delancey Street (Eldridge + Allen)
Johannes Vogt,New York,Lower East Side,"55 Chrystie St, Suite 202 (Hester + Canal)"
Kai Matsumiya,New York,Lower East Side,153 ½ Stanton St (Suffolk + Clinton)
Kerry Schuss,New York,Lower East Side,34 Orchard St (Hester + Canal)
Klaus Von Nichtssagend Gallery,New York,Lower East Side,54 Ludlow St (Grand + Hester)
Kristen Lorello,New York,Lower East Side,"195 Chrystie St, # 103 (Lobby) (Stanton + Rivington)"
Lehmann Maupin,New York,Lower East Side,201 Chrystie Street (Stanton + Rivington)
Lesley Heller Workspace,New York,Lower East Side,54 Orchard Street (Grand + Hester)
Lichtundfire,New York,Lower East Side,175 Rivington St. (Clinton + Attorney)
LMAK,New York,Lower East Side,298 Grand St (Eldridge + Allen)
Ludlow 38,New York,Lower East Side,38 Ludlow Street (Grand + Hester)
Lyle O. Reitzel,New York,Lower East Side,139 Eldridge St (Delancey + Broome)
Lyles & King,New York,Lower East Side,106 Forsyth Street (Broome + Grand)
Magenta Plains,New York,Lower East Side,94 Allen St (Delancey + Broome)
Marc Straus,New York,Lower East Side,299 Grand Street (Allen + Eldridge)
Marinaro,New York,Lower East Side,1 Oliver Street (St. James + Henry)
Martos Gallery,New York,Lower East Side,41 Elizabeth St (Hester + Canal)
McKenzie Fine Art,New York,Lower East Side,55 Orchard St (Grand + Hester)
Nathalie Karg Gallery,New York,Lower East Side,291 Grand St 4th fl. (@ Eldridge)
The New Museum of Contemporary Art,New York,Lower East Side,235 Bowery(@Prince)
Next to Nothing Gallery,New York,Lower East Side,"
181 Orchard St (Houston + Stanton)"
Nicelle Beauchene Gallery,New York,Lower East Side,327 Broome St (Bowery + Chrystie)
Olsen Gruin,New York,Lower East Side,30 Orchard St (Hester + Canal)
Participant Inc.,New York,Lower East Side,253 East Houston St (Norfolk + Suffolk)
PERROTIN,New York,Lower East Side,130 Orchard St (Rivington + Delancey)
Peter Blum,New York,Lower East Side,176 Grand St (Centre Market + Mulberry)
PIEROGI,New York,Lower East Side,155 Suffolk St (Houston + Stanton)
Rachel Uffner Gallery,New York,Lower East Side,170 Suffolk St (Houston + Stanton)
Regina Rex,New York,Lower East Side,221 Madison Street (Rutgers + Jefferson)
Richard Taittinger Gallery,New York,Lower East Side,154 Ludlow St (Stanton + RIvington)
Salon 94,New York,Lower East Side,243 Bowery (Stanton + Rivington)
Sargent's Daughters,New York,Lower East Side,179 East Broadway (Rutgers+ Jefferson)
SHFAP,New York,Lower East Side,208 Forsyth St (Houston + Stanton)
Shoot the Lobster,New York,Lower East Side,138 Eldridge St (Delancey + Broome)
Simon Preston,New York,Lower East Side,301 Broome St (Forsyth + Eldridge)
Simone Subal,New York,Lower East Side,131 Bowery (Broome + Grand)
Spencer Brownstone Gallery,New York,Lower East Side,170B Suffolk St (Houston + Stanton)
Sperone Westwater,New York,Lower East Side,257 Bowery (Houston + Stanton)
Spoke Art,New York,Lower East Side,210 Rivington St (Ridge + Pitt)
Stellar Projects,New York,Lower East Side,1 Rivington St ( @ Bowery)
The StoreFront Project,New York,Lower East Side,70 Orchard St (Broome + Grand)
Tibor De Nagy,New York,Lower East Side,15 Rivington St (Chrystie + Bowery)
TOTAH,New York,Lower East Side,183 Stanton St (Clinton + Attorney)
TURN Gallery,New York,Lower East Side,37 East 1st St (1st + 2nd Ave)
ULTERIOR,New York,Lower East Side,172 Attorney Street (Houston + Stanton)
Van Doren Waxter LES,New York,Lower East Side,195 Chrystie St (Stanton + Rivington)
Yours Mine & Ours,New York,Lower East Side,54 Eldridge St (Hester & Canal)
YveYANG,New York,Lower East Side,288 Broome St (Allen + Eldridge)
Zürcher Gallery,New York,Lower East Side,33 Bleecker Street (@ Mott)
315 Gallery,New York,Brooklyn/Queens,312 Livingston St
Century Pictures,New York,Brooklyn/Queens,1329 Willoughby Ave
The Chimney,New York,Brooklyn/Queens,200 Morgan Ave
Clearing,New York,Brooklyn/Queens,396 Johnson Ave
Cleopatra's,New York,Brooklyn/Queens,110 Meserole Ave
Fisher Parrish,New York,Brooklyn/Queens,238 Wilson Ave
Fresh Window,New York,Brooklyn/Queens,56 Bogart St
GreenPoint Terminal,New York,Brooklyn/Queens,67 West St
Helper,New York,Brooklyn/Queens,495 Rogers Ave
Honey Ramka,New York,Brooklyn/Queens,56 Bogart St
King's Leap,New York,Brooklyn/Queens,1329 Willoughby AVe
Luhring Augustine,New York,Brooklyn/Queens,25 knickerbocker Ave
Marvin Gardens,New York,Brooklyn/Queens,1532 Decatur St
Koenig & Clinton,New York,Brooklyn/Queens,1329 Willoughby Ave
Knockdown Center,New York,Brooklyn/Queens,52-19 flushing Ave
Meyohas,New York,Brooklyn/Queens,"42-01 21st st, LIC"
Microscope,New York,Brooklyn/Queens,1329 Willoughby Ave
Motel,New York,Brooklyn/Queens,1078 Dekalb Ave
Mrs.,New York,Brooklyn/Queens,60-40 56th Dr
Odetta,New York,Brooklyn/Queens,229 Cook st
Ortega Y Gasset,New York,Brooklyn/Queens,"363 3rd Ave, Brooklyn"
Owen James,New York,Brooklyn/Queens,61 Greenpoint Ave
Present Company,New York,Brooklyn/Queens,254 Johnson Ave
Safe,New York,Brooklyn/Queens,1004 metropolitan Ave
Sardine,New York,Brooklyn/Queens,286 Stanhope St
Soloway,New York,Brooklyn/Queens,348 4th St
SouthGirst,New York,Brooklyn/Queens,60 N 6th St
Studio 10 ,New York,Brooklyn/Queens,56 Bogart St
Theadore:Art,New York,Brooklyn/Queens,56 Bogart St
Transfer,New York,Brooklyn/Queens,1030 Metropolitan Ave
Transmitter,New York,Brooklyn/Queens,1329 Willoughby Ave
TSA,New York,Brooklyn/Queens,1329 Willoughby Ave
Underdonk,New York,Brooklyn/Queens,1329 Willoughby Ave
